"Date","Title","Artist","Peak_Position","Broad_Genre","Energy","Tempo","Danceability","Year","Rank","Valence","Rank_Group"
"6/3/17","Prblms","6lack",72,"R&B","0.58","102.848","0.579",2017,82,"0.106","51-75"
"6/3/17","Cake","flo rida",73,"EDM","0.854","105.078","0.786",2017,96,"0.687","51-75"
"6/3/17","Good Life","g-eazy",59,"Rap","0.771","168.385","0.565",2017,90,"0.573","51-75"
"6/3/17","Whatever It Takes","imagine dragons",92,"Rock","0.674","134.941","0.675",2017,92,"0.569","76-100"
"6/24/17","Rockabye","clean bandit",9,"EDM","0.763","101.965","0.72",2017,49,"0.742","1 - 10"
"6/24/17","Scared To Be Lonely","martin garrix",76,"EDM","0.54","137.972","0.584",2017,95,"0.195","76-100"
"6/24/17","Peek A Boo","lil yachty",78,"Rap","0.591","127.039","0.953",2017,89,"0.263","76-100"
"6/24/17","Met Gala","gucci mane",88,"Rap","0.587","140.062","0.817",2017,92,"0.352","76-100"
"6/17/17","Paris","the chainsmokers",6,"EDM","0.644","99.999","0.646",2017,46,"0.251","1 - 10"
"6/17/17","Me Enamore","shakira",83,"Pop","0.879","103.71","0.74",2017,83,"0.948","76-100"
"6/17/17","Somethin Tells Me","bryson tiller",74,"R&B","0.588","90.002","0.735",2017,74,"0.434","51-75"
"6/17/17","Self-Made","bryson tiller",85,"R&B","0.702","143.001","0.932",2017,85,"0.53","76-100"
"6/17/17","Don't Get Too High","bryson tiller",89,"R&B","0.495","124.055","0.88",2017,89,"0.47","76-100"
"6/17/17","Run Me Dry","bryson tiller",91,"R&B","0.756","193.881","0.646",2017,91,"0.596","76-100"
"6/17/17","There For You","martin garrix",94,"EDM","0.644","105.969","0.611",2017,94,"0.13","76-100"
"6/17/17","No Longer Friends","bryson tiller",98,"R&B","0.663","114.133","0.652",2017,98,"0.377","76-100"
"6/17/17","Strangers","halsey",100,"Rock","0.788","109.985","0.695",2017,100,"0.278","76-100"
"6/10/17","Any Ol' Barstool","jason aldean",52,"Country","0.722","143.78","0.536",2017,100,"0.499","51-75"
"6/10/17","Chained To The Rhythm","katy perry",4,"Pop","0.798","95.252","0.52",2017,86,"0.485","1 - 10"
"6/10/17","At My Best","machine gun kelly",60,"Rap","0.77","169.948","0.537",2017,87,"0.227","51-75"
"6/10/17","Either Way","chris stapleton",89,"Country","0.0628","129.004","0.641",2017,97,"0.275","76-100"
"6/10/17","Boy","lee brice",94,"Country","0.408","78.942","0.498",2017,94,"0.383","76-100"
"5/6/17","Dirt On My Boots","jon pardi",37,"Country","0.783","90.008","0.685",2017,62,"0.525","26-50"
"5/6/17","Fast","luke bryan",58,"Country","0.898","145.953","0.548",2017,85,"0.599","51-75"
"5/6/17","Blood.","kendrick lamar",54,"Rap","0.245","157.331","0.353",2017,54,"0.489","51-75"
"5/6/17","Duckworth.","kendrick lamar",63,"Rap","0.728","177.008","0.546",2017,63,"0.639","51-75"
"5/6/17","Black SpiderMan","logic",87,"Rap","0.869","139.994","0.617",2017,87,"0.331","76-100"
"5/27/17","Moves","big sean",38,"Rap","0.53","75.515","0.789",2017,95,"0.367","26-50"
"5/27/17","Galway Girl","ed sheeran",53,"Pop","0.876","99.943","0.624",2017,94,"0.781","51-75"
"5/27/17","The Night We Met","lord huron",84,"Rock","0.379","174.118","0.441",2017,91,"0.105","76-100"
"5/27/17","Everybody","logic",59,"Rap","0.572","100.015","0.629",2017,71,"0.386","51-75"
"5/20/17","Can't Stop The Feeling!","justin timberlake",1,"R&B","0.832","113.035","0.669",2017,39,"0.7","1 - 10"
"5/20/17","Party","chris brown",40,"R&B","0.576","142.096","0.762",2017,80,"0.316","26-50"
"5/20/17","Call On Me","starley",65,"EDM","0.838","104.998","0.67",2017,97,"0.717","51-75"
